N,text,created_at,likes_count,username,user_loc
27,"ICYMI: The U.S. House of Representatives voted to pass the Build Back Better Act. Here's what that means:

@PatricePinkFile's latest ⇣
https://t.co/XJkZLXrO4r",1462803064616796167,2021-11-22 15:20:02+00:00,0,IWF,"Washington, D.C."
28,"Delegates at last week's @CIAJ_ICAJ conference highlighted the need for Canada's justice system to recognize the existence of the many Indigenous legal orders in Canada, reconciling them with common law and current legal protocols: https://t.co/9Q3xM2CN6N.",1462803062507114505,2021-11-22 15:20:02+00:00,0,CFCJ_FCJC,Toronto
29,Did you see how much of a tax break they get with the BBB? You'd understand if you did. https://t.co/0cmSrrZH4b,1462803052432441344,2021-11-22 15:19:59+00:00,0,GinaNic02483743,"Pennsylvania, USA"
30,"SSN, Work Requirement For Child Tax Credit Would Be Removed In ‘Build Back Better’ Plan https://t.co/uU6CkRWpuM via @TPInsidr",1462803047265013761,2021-11-22 15:19:58+00:00,0,MarvinDailey,
31,"Passing policy won't help dems.

Attacking cultural war issues like Law and order immigration and CRT probably would do more than BIF and BBB.

Folks will get it eventually it's not about the economy for white folks. https://t.co/t8EeqSo6Aj",1462803041103581184,2021-11-22 15:19:57+00:00,2,reesetheone1,"Chicago, IL"
32,How Nancy Pelosi Got Biden's Build Back Better Bill Back on Track by using Back Channels (another expression for bribing) for votes.,1462803040562552848,2021-11-22 15:19:57+00:00,0,ThePlumbLine50,
33,Joe’s BBB program (Big Bad Boondoggle),1462803037781700608,2021-11-22 15:19:56+00:00,0,TRecs51,
34,@POTUS @POTUS you have proven to be the deal Maker trump pretended to be . your build back better bill speaks for itself and your correct about the cost of medicine the cost of life saving medicine should be reduced and your build back better bill will ensure that happens https://t.co/pL8aVxYyMW,1462803006001455108,2021-11-22 15:19:48+00:00,0,KevinJosephKel1,
35,@amyklobuchar and @TinaSmithMN  please support immigration reform in BBB bill,1462803001169440773,2021-11-22 15:19:47+00:00,0,TinAravind,
36,"Here's a look at #BuildBackBetter, what it means for Buffalo's poor and not-so-poor, and how and whether the Senate might be able to pass it: https://t.co/NHZewq7XxV via @TheBuffaloNews",1462802980667891724,2021-11-22 15:19:42+00:00,0,JerryZremski,"Washington, DC"
37,.@marcorubio You need to support Build Back Better !  Support Voting Rights Act!  Do your job! Show up as a senator and do what’s right for us Floridians. #youaregettingpaid #taxdollarspayyoursalary #dowhatisright or face #BLUEWAVE2022,1462802953321041923,2021-11-22 15:19:36+00:00,0,TheAmpster,"Miami, FL"
38,"https://t.co/E9gd3JJq55 it's never good to rush a good thing ! Biden's build back better will emerge victorious , evil will lose !",1462802936376004608,2021-11-22 15:19:32+00:00,0,HappyLu84721844,
39,"@SenSchumer @amyklobuchar @BernieSanders @harrisonjaime 
Pass the John Lewis Voting Rights Act or the infrastructure and BBB will be for naught.  Gerrymandering is out of control.  End the filibuster.",1462802931288260619,2021-11-22 15:19:31+00:00,0,C_wilson109,
40,"@KamalaHarris President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462802926045253640,2021-11-22 15:19:29+00:00,0,powhatanchula1,"California, USA"
41,"Millions of families are struggling to find the right ingredients at a reasonable price to put on the table for their annual feast. @HouseDems voted for a massive, sweeping tax and spending bill that will cause prices to rise even higher. https://t.co/ayxvXKMeFj",1462802914582437892,2021-11-22 15:19:27+00:00,0,GovWaste,"Washington, DC"
42,"@GOPChairwoman Democrats pass the infrastructure plan and the build back better plan

Republicans spew COVID-19 misinformation.

You wanna try maybe sharing an actual policy position, Ronna Romney? What is it exactly that Republicans stand for that benefits the American people?",1462802912124583945,2021-11-22 15:19:26+00:00,0,Studio1845P,"Florida, USA"
43,"@POTUS Ok, now pass the BBB, John Lewis VRA and Police Reform. We have to be able to vote safely and fairly. No way can gerrymandering equal taxation without representation.",1462802892075814915,2021-11-22 15:19:21+00:00,0,betteboop18,
44,You say Taxation is a thief!  Then explain how you possibly support anything @POTUS says since it’s all about taxation! BBB is all about tax. https://t.co/KoGqlG4jjc,1462802874883260419,2021-11-22 15:19:17+00:00,0,cnbrodie,
45,"Biden’s Build Back Better plan faces uphill battle as bill advances to Senate – live

https://t.co/DR4hPDKIY0",1462802862061363200,2021-11-22 15:19:14+00:00,0,sirimahanthesh,"Bengaluru, India"
46,"When have you had ""the best interests of the American people in mind."" You are the worst anti-American Representative in history!!https://t.co/Ph3yq9p58b #FoxNews",1462802854343757824,2021-11-22 15:19:12+00:00,0,fulredy,CO
47,"367 billion, that is how much the no cost BBB plan of pedo-joes is going to add to the deficit, for you folks that believe the democrat BULLSHIT!!!",1462802853798584320,2021-11-22 15:19:12+00:00,0,porko40277098,
48,"@AOC President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462802849478311938,2021-11-22 15:19:11+00:00,0,powhatanchula1,"California, USA"
49,"@sara_endipidy The other business ‘enterprise’ is - International Fund for Ireland, which promotes economic and social advance and encourages reconciliation throughout Ireland - which seeks to but seldom finds cohesive business purposes - same problem with InvestNI",1462802830780243982,2021-11-22 15:19:07+00:00,0,JohnMedici,"Belfast, Northern Ireland"
50,"Bringing this back to remind @POTUS that 1) this is impossible, and 2) we can't organize anyone at all if he doesn't deliver BBB and more https://t.co/mCI4zdGXt9",1462802813923344384,2021-11-22 15:19:03+00:00,2,Lnsciales,
51,@VividSeats_Help I already got the matter resolved but had to get BBB and my credit card company involved after you tried to keep my money for NCAA tournament that was canceled due to Covid.,1462802806386171908,2021-11-22 15:19:01+00:00,0,GILjustpray,
52,"We don't expect the BBB Act's nicotine tax ($50.33 per 1,180 mg nicotine) to go through in its current form

Although linking tax to nicotine content is a reasonable approach, the final version of the Act has to differentiate between different nicotine products
$mo $pm $bti $bats https://t.co/PcrjF8qElr",1462802795313172485,2021-11-22 15:18:58+00:00,1,tobaccoinsider,
53,"@immivoice @SenatorDurbin The writing is on the wall. Nothing will come out of the BBB for immigrants. #racist @SenatorDurbin will blame Manchin and Parliamentarian. He never wanted more green cards, he never supported relief except in senate speeches which cost nothing. #GCbacklog",1462802793341898765,2021-11-22 15:18:58+00:00,0,criticaltnk,"New York, USA"
54,"Whatever you do, NEVER finance a vehicle through @MandT_Bank ... paid off my loan MONTHS ago, never got my title in the mail (like I was assured), and now my account is suddenly locked. Went on BBB and saw hundreds of complaints about the same exact issue. How is that legal?",1462802773565743107,2021-11-22 15:18:53+00:00,0,Hoonballer15,412
55,"Also, I'd like to point out that BBB really is one of the most socially progressive bills we've seen, w/ a *strong* intersectional focus. It remains popular. Something for the ""Biden needs a Sister Souljah moment"" folks to consider in their calculations. (They're wrong)",1462802760169107458,2021-11-22 15:18:50+00:00,4,magi_jay,
56,Joe Manchin and Kyrsten Sinema are attracting billionaire GOP donors as they scale back Biden’s Build Back Better https://t.co/fqUSWZO9b3 #SmartNews,1462802755450699779,2021-11-22 15:18:49+00:00,0,marketman52,Northern California
57,"@SpeakerPelosi President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462802755286757380,2021-11-22 15:18:49+00:00,0,powhatanchula1,"California, USA"
58,"@RepFredKeller @SenatorBraun Thank you for standing up for us  Congressman Keller. Your concern and care are greatly appreciated.
I'm so proud that you represent us.
We need your strength and courage to help hard working people. BBB will destroy the middle class. We need fighters. You certainly fit the bill.",1462802733409439745,2021-11-22 15:18:43+00:00,0,finallyitslove,
59,@ewarren Not you too!! The BBB act will cap the CO-PAY not the retail price of insulin. This act only helps insured diabetics and leaves the most vulnerable diabetics still paying $300 per vial. We need better! At the very least we need transparency and accurate details being communicated,1462802709438947335,2021-11-22 15:18:38+00:00,0,ChrastyBoBasty,
60,What tech’s watching as Build Back Better heads to Senate https://t.co/8MofikAxXL,1462802699783655430,2021-11-22 15:18:35+00:00,0,MorningTech,Washington D.C.
61,Manchin betrays colleagues who helped him with his latest Build Back Better demands https://t.co/PY0Kgq2uk5,1462802693244829697,2021-11-22 15:18:34+00:00,0,_aco15,Flordia
62,"@VP President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462802675032985608,2021-11-22 15:18:29+00:00,0,powhatanchula1,"California, USA"
63,@Sen_JoeManchin It’s not about taking your parties side anymore!! It’s about saving the American People!! Say NO to BBB!! No more debt!!,1462802670910066693,2021-11-22 15:18:28+00:00,0,wendysi81857317,
64,"The #BuildBackBetterAct @HouseDemocrats passed on Friday would help over 766 THOUSAND Texans finally get the health coverage they need.

This is great news for working families, and just one of the many ways we will #BuildBackBetter 

https://t.co/aQH42q0jMR",1462802670163533825,2021-11-22 15:18:28+00:00,4,RepSylviaGarcia,"Houston, TX"
65,House Passes Build Back Better Act https://t.co/k0uza4K87D | by @roetzel_andress,1462802644485881857,2021-11-22 15:18:22+00:00,0,LegalNews,JDSupra.com
66,@PostUp_bbb 1 game is always all it takes. If starfield is a banger all buy Xsx for it. 1 great game is all it takes to sway real gamers. @PlayStation @Xbox,1462802607836127236,2021-11-22 15:18:13+00:00,0,NavaroneSeal,
67,"@POTUS President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462802606770712581,2021-11-22 15:18:13+00:00,0,powhatanchula1,"California, USA"
68,Issue to Watch This Week: Senate to Debate After House of Representatives Pass Biden Spending Bill #TheBriefing https://t.co/Ls8nZSLfGc,1462802554673319944,2021-11-22 15:18:01+00:00,1,albertmohler,"Louisville, KY"
69,"It's a shame! 

https://t.co/UAxKXvdI0s",1462802546422992900,2021-11-22 15:17:59+00:00,0,tmckinley,"Phoenix, AZ"
70,@RepGrothman Bullshit. Those addicted would find a way to obtain the opioids if you put a fence around the whole country. The cartels only supply the needs. Mental health treatment &amp; affordable rehab. Which the BBB Act will help.,1462802542937710595,2021-11-22 15:17:58+00:00,0,bloomin3pa,United States
71,"If Democrats get the,BBB plan,2pass,in the Senate?It would be good,for them,going into the election,in 22?I can’t imagine?anything getting done,if Repugs win😱with that,Crazy gang!of nut jobs!Marge Greene🤪little Bobcat🐆him in the 🦼 Gaetz will be in jail,by then,we hope haha 😉",1462802528593133571,2021-11-22 15:17:55+00:00,0,EdwardCaddis,"Scotland, United Kingdom"
72,"Biden’s Build Back Broke Bill Enriches Blue State Fat Cats, Dings Middle Class https://t.co/tuCvEMI77y",1462802519298555912,2021-11-22 15:17:52+00:00,1,NoLeftTurns,Free state of Florida 
73,"President Joe Biden The Powhatan Federal Government of 70 Tribes est May 14, 1607 say you’re a Fool for putting The United States Government in Bankruptcy over this New $1.75 Trillion Spending Bill will never get the US out of Dept going down Hill",1462802449064890372,2021-11-22 15:17:36+00:00,0,powhatanchula1,"California, USA"
74,"House passage of Build Back Better Act ‘major step forward’ for providers, seniors https://t.co/IIBsCTKWY6",1462802408548016135,2021-11-22 15:17:26+00:00,0,RhondaBillsLTC,"Altoona, IA"
75,@thehill @GovChrisSununu Chris stumping for the Build Back Better plan to put them on an even footing?,1462802391074410500,2021-11-22 15:17:22+00:00,0,abqralph,"Perpetual, State of Confusion"
76,@POTUS I think the BBB act is very effective and will save people money per month and make medication more affordable!,1462802383667445770,2021-11-22 15:17:20+00:00,0,leahfow53212147,
77,"@washingtonpost It's a ludicrous piece. It notes that the rich pay *at least* $80k in state and local taxes, that the BBB provision expands SALT deductions from $10k *up to* $80k, and that the two somehow equal helping the rich. No. It helps those of us paying $11k or $20k in SALT.",1462802381092143106,2021-11-22 15:17:19+00:00,0,JonathanEzor,
78,‘Build Back Better’ Is Climate-Change Socialism  https://t.co/R8M7OxGwj1,1462802377124241411,2021-11-22 15:17:18+00:00,0,WandaRufin,"Miami, FL"
79,"♡
#KaiComebackWeek
KAI PEACHES IN 7 DAYS",1462802326536732675,2021-11-22 15:17:06+00:00,0,0o0_bbb,
80,Biden Build Back Better bill: House passes social safety net and climate plan - CNBC https://t.co/hu7fnJkY1P,1462802318152192008,2021-11-22 15:17:04+00:00,0,GreenEnergy,
81,"'Squad' Democrat Tlaib warns 'corporate Dems' Manchin, Sinema, may cut reconciliation in Senate: report https://t.co/7LtrFhJuqP @FoxNews",1462802293301075974,2021-11-22 15:16:58+00:00,0,AIIAmericanGirI,Wisconsin
82,Super sad❗️Been trying to warn people about this medical experiment and one of its true purpose is to depopulate - Build Back Better is the One World Order! They want you gone.... https://t.co/6NFqgM0KYD,1462802250716250116,2021-11-22 15:16:48+00:00,0,TRUMP1WINs,Tucson AZ
83,"HAWAII, THANKSGIVING AND XMAS/NEW YEAR…
MUCH SAID ABOUT UPCOMING FALL OUT OF JOE BIDEN’S $7 TRILLION DOLLAR SPENDING BILL.  MEDICARE PREMIUMS TO SHOOT UPWARD.  MORE NEW TAXES TO PAY FOR INFRASTRUCTURE ROADS N BRIDGES.  SCAMS ARE RAMPANT FOR FREE APPLE PHONES AND AT&amp;T SCAMS!  NO https://t.co/k5J5dfbLSb",1462802232085135362,2021-11-22 15:16:44+00:00,0,SimonIshihara,"Honolulu, HI"
84,"Ohm is really working so hard. He has been filming BBB non stop, doing events, traveling AND filming for OMSN and working out all the time 🥺 Not to mention dieting. I want to just wrap him in some blankets, give him bbtea, and tell him he can rewatch Ghost Ship as he so desires https://t.co/GVc4J6U07T",1462802192272961543,2021-11-22 15:16:34+00:00,1,aye_sikily,outerspace
85,"@Sen_JoeManchin Taxing farmers, allow an illegals to cross our borders spreading Covid, Sex Trafficking, Drugs, and Rape!! Say NO to BBB!! Save the American people!!",1462802178448535552,2021-11-22 15:16:31+00:00,0,wendysi81857317,
86,Giving expression to the #EU - #SouthAfrica #StrategicPartnership: Min Naledi Pandor’s visit to Brussels this past week greatly appreciated at this critical time of reshaping how we build back better after #Covid19. #SA_EUtalk #TeamEurope @Dirco_ZA https://t.co/6z53YhL8gj,1462802169158066176,2021-11-22 15:16:29+00:00,1,RKionka,"Pretoria, South Africa"
87,"Arizona and West Virginia would win big from BBB: Are Manchin and Sinema paying attention? NO, they’re too busy kissing the @GOP's ass!! @Sen_JoeManchin @SenatorSinema  https://t.co/otltM7wepo",1462802138724126729,2021-11-22 15:16:22+00:00,0,ShelliDrummer4,"Seattle, Washington"
88,"@MissTerriB @seanhannity Post something on what is so good about both Biden and Harris and what have they've done to Build Back Better for America than Trump. If not, call yourself a ""FAILURE IN LIFE"" like the FAILURES IN LIFE who Riot and Loot in the streets across America.",1462802130763325448,2021-11-22 15:16:20+00:00,0,ExpendaBull,
89,Reconciliation? Not. https://t.co/lUhGvmTEBB,1462802116783874058,2021-11-22 15:16:16+00:00,0,paulethe__,Namibia
90,"BBB accredited A+ 
Licensed, Bonded and Insured!
Call TaxNet LLC @ 1-(800) 488-1453
1305 Pennsylvania Ave, McDonough, GA, 30253

Link: https://t.co/3VtEemzc5Y",1462802049121153027,2021-11-22 15:16:00+00:00,0,ShanannHuie,1305 Pennsylvania Ave
91,"@AmandaFBelfast Not to be confused with - International Fund for Ireland, which promotes economic and social advance and encourages reconciliation throughout Ireland. That’s beyond her on her RHI record.",1462802017882157066,2021-11-22 15:15:53+00:00,0,JohnMedici,"Belfast, Northern Ireland"
92,"@RepStefanik Elise voted to send 1 billion$ to Israel for their ""Iron dome"".
She voted ""NO"" to spend money in her own district with the BBB bill.
Why does Elise think it is OK to do that?
Why doesn't Elise believe our tax dollars should benefit American?",1462802006951800833,2021-11-22 15:15:50+00:00,0,DDuffy54,NY
93,"Schumer calls on GOP senators to ""stand down"" on insulin provision in Build Back Better https://t.co/jDEW3vR4eD Enough rhinos will obey his wishes .  Sad vote them out !!!",1462801987200770058,2021-11-22 15:15:45+00:00,0,jeffrey25237328,
94,@FDRLST There is public transportation for people who can't drive...Build Back Better money being put to good use and saving innocent lives.,1462801965281390594,2021-11-22 15:15:40+00:00,0,robertranderso2,"Slatington, PA"
95,Arizona and West Virginia would win big from BBB: Are Manchin and Sinema paying attention? | https://t.co/AIzB1XKmFs https://t.co/6qPNjLJZGh,1462801953201680391,2021-11-22 15:15:37+00:00,0,Kathryn24498120,
96,"@tedcruz 

WE need to amend BBB, with national open carry.

send that back to the house.",1462801948181155844,2021-11-22 15:15:36+00:00,0,KennPissy,
97,"BBB Tournament Boyd Baker @ Amphi HS:
Nov 22 Games:
10:30am
Hayden vs SanMan

1:30pm 
Hayden vs Babo
Duncan vs SanSimon

4:30pm
Patagonia vs sansimon

6pm
Duncan vs Willcox

7:30pm
Joe city vs sansimon",1462801917319413769,2021-11-22 15:15:29+00:00,1,AZSPORTSNETWORK,Arizona
98,"Schumer says Democrats want Build Back Better bill done by Christmas

https://t.co/AWamN0fzOy",1462801914509283339,2021-11-22 15:15:28+00:00,0,proudCanadavet,Canada 
99,"This reconciliation bill CAN NOT pass. This is INSANITY, are we moving FULL gear into Communism? What's going on? @LindseyGrahamSC @SenatorTimScott @tedcruz @RandPaul @Sen_JoeManchin @kyrstensinema",1462801914178031617,2021-11-22 15:15:28+00:00,0,thiagovianasc,
100,"@Sen_JoeManchin Senator, thank you for supporting Build Back Better. We need it.",1462801897018904580,2021-11-22 15:15:24+00:00,0,Pipila005,United States
101,"The press spends weeks hee-hawing about the price tag of BBB, but let's see if they touch this glaring, baffling flaw which is functionally, likely purposely designed to rip free/affordable childcare outnofnthe hands of needy people. https://t.co/wKQlJProMf",1462801892187197448,2021-11-22 15:15:23+00:00,0,dill_the_skinny,"You feel it, too, don't you?"
102,"ION GIVE A FUCK IF YALL THE TURNERS,BROOKS,PRICES,STONES EVEN THE CLOUT FAN OF NU FAN THE BBB BURTON BUSINESS ALL YALL SHIT ABOUT TO CRASH AND THEY POPPING WITH YALL IN THIS HOUSE HOLD FAMILY FOR YOU SMH ALL SNAKES AGAINST LIL OLE ME I DONT GIVE A FUCK THO WE ALL BLEED RED👿😈 https://t.co/61X2AFMkWK",1462801886877208578,2021-11-22 15:15:22+00:00,0,LIFEWITHNU,
103,"@SenatorLankford Unlike the tax cuts for the wealthy, the BBB supports the rebuilding of the middle class. You want to be Pro-LIFE? Support BBB and stop lying.",1462801879100919809,2021-11-22 15:15:20+00:00,0,MorrisDonna,
104,"@thehill CBO estimates that the funding for tax enforcement activities provided by H.R. 5376, the Build Back Better Act, would increase outlays by $80 billion and revenues by $207 billion, thus decreasing the deficit by $127 billion, through 2031. https://t.co/KPancWIcPi",1462801873610629129,2021-11-22 15:15:18+00:00,0,RichwLove,
105,"@atensnut Can't make up their minds. Socialism, Marxism, Communism. None of those scare the base words are ever coming to the US. We have an oligarchy in the US

Trump gave the rich a $2T tax break. Since billionaires have become $5T richer. None of it trickled down. BBB is for the people. https://t.co/djsKLcinSx",1462801829306109957,2021-11-22 15:15:08+00:00,0,andreagail_k,CA
106,"@TPBlue4 @CNN Progressives need to set priorities of how Americans spend their tax dollars for Services that Benefit Americans. The Build Back Better Bill has done that. Quit using the Word Free, because nothing is Free. Promote Priorities not Free &amp; explain the Specifics of The Benefits.",1462801826139578371,2021-11-22 15:15:07+00:00,2,selectttt,
107,"Unbelievable. 
https://t.co/hxpPCJeef2",1462801809525907458,2021-11-22 15:15:03+00:00,1,TPInsidr,Virginia
108,"Per @nytimes, an American diplomat had observed that in reconstructing its enrichment factory, Iran has come up with its own 'Build Back Better' plan. https://t.co/bTr8K9ROeg",1462801806141108229,2021-11-22 15:15:02+00:00,3,Azodiac83,"Washington, DC"
109,"Is Biden's Build Back Better agenda 'dead on arrival?'

https://t.co/3INSX5iXHP",1462801795818962954,2021-11-22 15:15:00+00:00,0,iowasnewsnow,"Cedar Rapids, Iowa"
110,"'Squad' Democrat Tlaib warns 'corporate Dems' Manchin, Sinema, may cut reconciliation in Senate: report

https://t.co/kkTJ8PGOME",1462801795470839808,2021-11-22 15:15:00+00:00,30,FoxNews,U.S.A.
111,Former IS fighters say they paid way out of Kurdish jail in ‘reconciliation’ scheme https://t.co/iH6LLMj2Yg,1462801770577600515,2021-11-22 15:14:54+00:00,0,muratalkan1919,dünya
112,"I guess ""build back better"" really means build back to 1930s germany https://t.co/vVSU6OqbMe",1462801761899589634,2021-11-22 15:14:52+00:00,1,RyanG31502961,Canada
113,"NEW: While some independent analysts have said the #BuildBackBetter package will not add to inflationary pressures, our fresh polling found a plurality of voters say they think it will make inflation “worse.""

More here on voter support for Biden's agenda: https://t.co/8ffqm4mE2K",1462801741049651206,2021-11-22 15:14:47+00:00,4,eyokley,"Washington, DC and Joplin, Mo."
114,"What does “helalleşmek” mean? 
CHP Chair Kılıçdaroğlu’s recent call for reconciliation in Turkey has got everyone debating what the religious term means and what it has to do with politics and the law.
Dive deep into the story with ANKA Review. 
https://t.co/Cp06Knd47g https://t.co/mSrXY4VTWq",1462801723144167426,2021-11-22 15:14:42+00:00,0,duyguguvenc,"Ankara, Türkiye"
115,What tech’s watching as Build Back Better heads to Senate https://t.co/jPMxfXRf84,1462801706589188096,2021-11-22 15:14:39+00:00,0,TodayHeadline42,United States
